YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,9,26,6,WN,3176,N296WN,BNA,STL,afternoon,1307,on_time,6,1313,65,57,46,short,1359,5,1415,1404,-11,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,13,1,MQ,3360,N515MQ,ORD,BNA,afternoon,1501,delayed,16,1517,97,76,53,short,1610,7,1352,1617,145,0,0,,145,0,0,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,3,19,4,WN,178,N935WN,CMH,BNA,evening,1806,on_time,7,1813,75,73,60,short,1813,6,1825,1819,-6,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,20,1,EV,4170,N16981,EWR,BNA,evening,2101,on_time,31,2132,150,146,109,short,2221,6,2224,2227,3,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,5,28,4,MQ,3492,N516MQ,LGA,BNA,evening,1954,on_time,54,2048,148,162,101,short,2129,7,2123,2136,13,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,15,3,WN,2155,N953WN,DCA,BNA,evening,1922,on_time,13,1935,95,94,76,short,1951,5,2000,1956,-4,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,12,2,WN,391,N611SW,BNA,MCI,afternoon,1727,delayed,9,1736,95,94,81,short,1857,4,1800,1901,61,0,0,,0,0,1,60,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,24,7,AA,1439,N513AA,DFW,BNA,afternoon,1459,on_time,10,1509,112,104,88,short,1637,6,1656,1643,-13,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,19,1,WN,464,N552WN,BNA,MDW,evening,1902,delayed,8,1910,95,81,68,short,2018,5,2015,2023,8,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,13,7,EV,4697,N14204,IAH,BNA,morning,855,on_time,17,912,122,124,94,short,1046,13,1102,1059,-3,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,8,2,WN,2058,N770SA,BNA,EWR,evening,1850,on_time,7,1857,120,121,106,short,2143,8,2155,2151,-4,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,16,1,AA,1868,N751UW,BNA,CLT,morning,741,on_time,18,759,88,85,53,short,952,14,1013,1006,-7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,31,5,WN,1967,N627SW,BOS,BNA,afternoon,1704,delayed,39,1743,175,191,146,medium,1909,6,1840,1915,35,0,0,,16,0,13,6,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,22,7,WN,440,N7748A,BNA,HOU,afternoon,1218,on_time,9,1227,135,127,115,short,1422,3,1430,1425,-5,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,18,3,WN,3408,N919WN,BNA,DAL,afternoon,1545,on_time,10,1555,120,104,90,short,1725,4,1745,1729,-16,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,6,4,WN,3215,N470WN,DEN,BNA,morning,543,on_time,12,555,145,139,121,medium,856,6,910,902,-8,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,26,3,WN,48,N640SW,BNA,HOU,afternoon,1455,on_time,9,1504,125,114,97,short,1641,8,1705,1649,-16,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,14,2,MQ,3677,N618MQ,ORD,BNA,morning,957,on_time,17,1014,88,88,67,short,1121,4,1128,1125,-3,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,11,2,WN,558,N360SW,HOU,BNA,morning,621,on_time,14,635,110,116,95,short,810,7,815,817,2,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,19,4,US,1945,N836AW,BNA,CLT,afternoon,1829,delayed,30,1859,76,97,53,short,2052,14,1925,2106,101,0,0,,21,0,30,50,0,freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
