YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,8,20,4,AA,1928,N716UW,CLT,BNA,evening,2337,delayed,33,10,76,91,53,short,3,5,2241,8,87,0,0,,15,0,3,69,0,not_freezing,hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,9,29,2,WN,518,N962WN,BNA,FLL,morning,801,on_time,12,813,130,134,116,short,1109,6,1115,1115,0,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,26,3,WN,3030,N637SW,BOS,BNA,morning,658,delayed,17,715,170,161,138,medium,833,6,710,839,89,0,0,,0,0,89,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,26,7,WN,3034,N225WN,MDW,BNA,morning,933,on_time,9,942,75,73,59,short,1041,5,1050,1046,-4,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,12,15,2,WN,254,N7739A,BNA,BOS,evening,2116,delayed,13,2129,140,125,105,medium,14,7,2320,21,61,0,0,,0,0,61,0,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,26,6,OO,5181,N758SK,BNA,DEN,morning,710,on_time,23,733,193,198,164,medium,917,11,928,928,0,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,medium_visibility
2015,6,28,7,WN,3034,N917WN,BNA,TPA,morning,1254,delayed,8,1302,100,108,82,short,1524,18,1405,1542,97,0,0,,8,0,89,0,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,2,5,EV,6056,N13992,BNA,ORD,morning,754,on_time,13,807,105,93,71,short,918,9,945,927,-18,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,3,9,1,AA,1361,N3MDAA,BNA,LAX,morning,730,delayed,25,755,290,276,243,long,958,8,930,1006,36,0,0,,0,0,36,0,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,3,4,MQ,3227,N9EAMQ,ORD,BNA,morning,658,on_time,11,709,97,80,66,short,815,3,842,818,-24,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
